"File Name","Contact","Name Prefix","First Name","PreferredName","Middle Name","Maiden Name","UseMaiden","Last Name","Name Suffix","Member Active","Member Join Date","Login","Birth Year","Birth Month","Birth Day","Deceased","Image Filename","Address 1","Address 2","City","State / Province","Postal Code","Country","Telephone","Cell Phone","Toll Free Phone","International Phone","Preferred Phone","Fax","Email","Website","Alternate Address 1","Alt. Address 2","Alt. City","Alt. State / Province","Alt. Postal Code","Al. Country","Alt. Phone","Alt. International Phone","Alt. Preferred Phone","Alt. Email","Use Seasonal Address","Use Alt. Info Month Begin","Alt. Contact Day Begin","Use Alt. Info Month End","Alt. Contact Day End","Business Phone","Gender","Quarterly","Volunteering?","Joint Member","Email of Joint","Phone of Joint","Your Skills","Your Interests","Your Education","General Email","Event Email","Newsletter Email","Surname Inquiry","Mbr. List - Show Name","Mbr. List - Show Address","Mbr. List - Show Phone","Mbr. List - Show Email","Mbr. List - Show Photo","Membership Plan","Membership Type","Max Members","Lifetime","Membership Number","Mail Publications","Address Label Name","Amount Paid","Donation","Date Paid","Payment Type","Expiration Date","Comment","Acct. Primary","Membership Tie ID","Login Count","Last Login Date","Administrative Notes","Last Updated By","Last Updated Date","ENS Member Record ID"
"Murphy, Shirley","","","Shirley","","","Schneider","Not Used","Murphy","","Yes","10/13/2014","smurphy","1966","2","28","","shirley-murphy-member.jpg","7638 Birch St","","San Antonio","TX","78201","USA","(210) 555-7560","","","","Telephone","","shirley.murphy@example.net","","","","","","","","","","","","","","","","","","F","Y","","","","","","Newspaper research","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Single","Person","1","","","No","Murphy, Shirley","35.00","","05/14/2027","PayPal","06/30/2027","","Yes","","20","12/28/2025","","admin","06/23/2027","10001"
"Solis, Pearl","","","Pearl","","Sean","Wood","Not Used","Solis","","Yes","08/15/2014","psolis","1970","1","12","","pearl-sean-solis-member.jpg","9833 Quintana Rd","","Converse","TX","78109","USA","(210) 555-1672","","","","Telephone","","psolis1962@example.org","","","","","","","","","","","","","","","","","","F","Y","","","","","","","","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","No","Single","Person","1","","","Yes","Solis, Pearl","35.00","","06/13/2026","Cash","06/30/2026","","Yes","","41","02/07/2026","","secretary","06/07/2026","10002"
"Gordon, Steven","","","Steven","","","","","Gordon","","No","03/12/2024","sgordon","1973","3","11","","steven-gordon-member.jpg","1488 Morning Glory Ln","","Dallas","TX","75201","USA","(214) 555-9624","(214) 555-2531","","","Telephone","","gordons@example.net","","","","","","","","","","","","","","","","","","M","","","Barbara","gordonb@example.org","(214) 555-9624","Record preservation; Microfilm reader operation","Texas Republic period; Mission-era records","","Yes","Yes","No","Yes","Yes","Yes","Yes","No","No","Joint","Person","2","","","No","Gordon, Steven","45.00","","01/30/2024","Check","03/30/2024","","Yes","","0","","Joint with spouse; check joint record","admin","02/26/2024","10003"
"Rudolph, Estela","","","Estela","","","Alexander","Not Used","Rudolph","","Yes","05/03/2001","erudolph","1955","12","28","","estela-rudolph-member.jpg","3737 Shaenfield Rd","","San Antonio","TX","78237","USA","","(210) 555-7126","","","Cell Phone","","estelarudolph11@example.com","","","","","","","","","","","","","","","","","","F","","Y","","","","","Irish heritage","","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","No","Single","Person","1","","","Yes","Rudolph, Estela","35.00","","05/17/2026","Credit Card","06/30/2026","","Yes","","27","02/07/2026","","secretary","06/02/2026","10004"
"Hernandez, Garrett","","","Garrett","","Heinrich","","","Hernandez","","Yes","10/12/1985","ghernandez","1950","12","5","","garrett-heinrich-hernandez-member.jpg","8676 Steves Ave","Apt 200","San Antonio","TX","78207","USA","","(210) 555-7116","","","Cell Phone","","garrett.hernandez@example.org","","","","","","","","","","","","","","","","","","M","","","Carmen","hernandezc@example.com","(210) 555-7116","","DNA research","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Joint","Person","2","","","No","Hernandez, Garrett","45.00","","04/08/2026","PayPal","06/30/2026","","Yes","","42","02/10/2026","Has large collection of Bexar County deeds for potential donation","admin","06/04/2026","10005"
"Evans, Alfredo","","","Alfredo","","","","","Evans","","Yes","10/27/2015","aevans","1994","2","24","","alfredo-evans-member.jpg","4943 Morning Glory Ln","","Victoria","TX","77901","USA","","(361) 555-8325","","","Cell Phone","","evansa@example.com","","","","","","","","","","","","","","","","","","M","Y","Y","","","","","","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Single","Person","1","","","No","Evans, Alfredo","35.00","","04/12/2026","Cash","06/30/2026","","Yes","","5","10/09/2025","","admin","06/12/2026","10006"
"Robinson, Francisco","","","Francisco","","Ernst","","","Robinson","","No","07/18/2017","frobinson","1958","1","24","","francisco-ernst-robinson-member.jpg","4778 Birch St","","San Antonio","TX","78220","USA","(210) 555-8406","(210) 555-3828","","","Telephone","","robinsonf@example.com","","","","","","","","","","","","","","","","","","M","Y","","","","","","Irish heritage; Czech settlers in Texas","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Single","Person","1","","","No","Robinson, Francisco","35.00","","03/16/2025","Check","04/28/2025","","Yes","","0","","Member since the founding year; honorary board member","secretary","02/21/2025","10007"
"Morales, Ethan","","","Ethan","","Renee","","","Morales","","Yes","04/12/2021","emorales","1946","3","6","","ethan-renee-morales-member.jpg","2150 Locke Ln","","San Antonio","TX","78217","USA","(210) 555-3526","(210) 555-3804","","","Telephone","","ethan.morales@example.net","","","","","","","","","","","","","","","","","","M","","","Jessica","jessica.morales@example.com","(210) 555-3526","","","","No","Yes","Yes","Yes","Yes","Yes","Yes","No","No","Joint","Person","2","","","Yes","Morales, Ethan","45.00","","06/10/2027","Check","06/30/2027","","Yes","","35","11/05/2025","","admin","06/14/2027","10008"
"University of Texas at San Antonio Library","Mary Clark","","Mary","","","","","Clark","","Yes","06/13/2026","mclark","","","","","","7742 Main St","","Garden Ridge","TX","78266","USA","(210) 555-7293","(210) 555-7850","","","Cell Phone","","info@clarkmary.example.org","","","","","","","","","","","","","","","","","","","Y","","","","","","","","Yes","No","Yes","Yes","Yes","No","Yes","No","No","Exchange","Organization","1","","","Yes","University of Texas at San Antonio Library","0.00","","05/04/2026","Cash","06/30/2026","Credit card declined once; reprocessed","Yes","","20","11/22/2025","","admin","05/29/2026","10009"
"Ayala, Esperanza","","Mr.","Esperanza","","Maria","","","Ayala","","Yes","11/20/2024","eayala","1964","9","9","","esperanza-maria-ayala-member.jpg","9239 Pioneer Rd","","Santa Fe","NM","87501","USA","(505) 555-1742","(505) 555-1637","","","Cell Phone","","ayalae@example.net","","","","","","","","","","","","","","","","","","F","","","Klaus","klausayala20@example.net","(505) 555-1742","","","","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","No","Joint","Person","2","","","Yes","Ayala, Esperanza","45.00","","06/04/2026","Credit Card","06/30/2026","","Yes","","50","10/03/2025","","admin","06/24/2026","10010"
