"Full Name","Birth Date","Death Date","Cemetery Name","Section","Plot","Inscription"
"Henry Brown","01/24/1844","12/27/1871","San Fernando Cemetery No. 2","M","33",""
"Sarah Roberts","11/15/1903","08/08/1941","Confederate Cemetery","F","109",""
"Katharina Braun","09/11/1833","09/11/1894","San Fernando Cemetery No. 2","F","150",""
"Robert Green","02/17/1888","06/04/1959","City Cemetery No. 1","P","95",""
"Juan López","05/15/1865","05/20/1896","Confederate Cemetery","J","69",""
"Louisa Schmitt","12/24/1781","05/15/1868","Mission Burial Park","J","29",""
"Teresa Gutiérrez","05/10/1894","10/15/1939","National Cemetery (Fort Sam Houston)","G","10",""
"Hermann Becker","02/28/1792","09/07/1865","San Fernando Cemetery No. 1","W","52",""
"Florence White","09/06/1770","09/16/1854","National Cemetery (Fort Sam Houston)","C","91",""
"Friedrich Schäfer","06/22/1912","09/14/1955","San Fernando Cemetery No. 1","K","47","Hier ruht in Gott"
"Henry Roberts","09/02/1810","12/08/1891","San Fernando Cemetery No. 1","Q","145",""
"Ernst Schäfer","12/16/1854","07/16/1885","Confederate Cemetery","X","97",""
"Josefa Gutiérrez","03/19/1808","04/27/1878","National Cemetery (Fort Sam Houston)","S","66",""
"Gertrud Schmidt","12/02/1905","10/19/1928","San Fernando Cemetery No. 1","B","137",""
"José Reyes","03/04/1893","11/23/1956","Mission Burial Park","C","139",""
"Elena Flores","12/17/1878","05/13/1933","National Cemetery (Fort Sam Houston)","J","159",""
"Olga Zimmermann","08/11/1830","08/06/1897","Mission Burial Park","W","147",""
"Emma Carter","02/15/1887","01/06/1925","Mission Burial Park","S","119",""
"Sarah Carter","04/21/1778","05/17/1867","National Cemetery (Fort Sam Houston)","O","21",""
"Louisa Taylor","05/26/1851","06/26/1883","San Fernando Cemetery No. 2","N","128",""
"Fergus Murphy","11/01/1813","03/24/1860","San Fernando Cemetery No. 2","Q","129",""
"Heinrich Zimmermann","02/09/1793","10/16/1881","City Cemetery No. 1","S","3",""
"Frederick Wright","08/15/1925","03/27/1958","National Cemetery (Fort Sam Houston)","B","95",""
"Ida Zimmermann","02/21/1809","04/27/1876","Mission Burial Park","K","191",""
"Ruth Baker","03/22/1807","11/11/1851","Confederate Cemetery","A","192",""
"Tomás Hernández","03/28/1763","04/28/1851","National Cemetery (Fort Sam Houston)","P","79","Im Frieden des Herrn"
"Héctor González","06/27/1836","01/23/1923","National Cemetery (Fort Sam Houston)","Z","26",""
"Concepción López","04/13/1788","05/07/1867","San Fernando Cemetery No. 1","K","179",""
"Felicitas Molina","12/12/1820","08/03/1867","National Cemetery (Fort Sam Houston)","X","154",""
"Florencio López","09/11/1878","01/21/1940","Confederate Cemetery","C","94",""
"Heinrich Krüger","04/19/1824","07/27/1892","Confederate Cemetery","S","48",""
"Francisca Moreno","11/05/1856","07/22/1881","National Cemetery (Fort Sam Houston)","H","121",""
"Eugene King","01/11/1831","11/13/1903","San Fernando Cemetery No. 2","J","46",""
"Manuel Domínguez","06/21/1780","01/04/1859","San Fernando Cemetery No. 2","K","138",""
"Lupe González","11/18/1853","02/02/1897","National Cemetery (Fort Sam Houston)","A","35",""
"Ignacio Domínguez","02/09/1791","07/05/1876","Mission Burial Park","I","174",""
"Charles Allen","10/26/1818","04/01/1890","San Fernando Cemetery No. 1","N","127",""
"Bertha Wright","03/17/1896","01/19/1938","National Cemetery (Fort Sam Houston)","Y","72",""
"Bessie Adams","06/18/1844","02/28/1894","Mission Burial Park","O","35",""
"Miguel Martínez","09/04/1842","07/26/1932","San Fernando Cemetery No. 1","Y","99",""
"Elizabeth Miller","09/03/1805","04/19/1889","National Cemetery (Fort Sam Houston)","P","53",""
"Clarence Wilson","05/25/1872","04/07/1943","Confederate Cemetery","O","4",""
"Harold Smith","09/27/1885","02/12/1929","Mission Burial Park","N","6","In loving memory"
"Florencio Flores","04/03/1814","05/03/1855","National Cemetery (Fort Sam Houston)","B","186",""
"Carlos Castillo","12/19/1775","01/02/1858","Mission Burial Park","I","26",""
"Feliciano Cruz","01/20/1928","09/21/1957","Confederate Cemetery","W","158",""
"Alice Adams","10/24/1862","09/15/1885","Mission Burial Park","R","122","Auf Wiedersehen"
"Pearl White","02/16/1809","03/06/1876","City Cemetery No. 1","Z","37","At rest with the Lord"
"Henry Davis","10/02/1815","02/04/1903","San Fernando Cemetery No. 1","G","79",""
"Ernst Schmidt","07/15/1821","01/05/1910","Mission Burial Park","U","44","In loving memory"
"Concepción Cruz","02/19/1863","07/24/1900","City Cemetery No. 1","G","105",""
"Angela Fuentes","02/16/1900","06/01/1927","San Fernando Cemetery No. 2","E","86",""
"Ramona Ramos","04/25/1846","10/15/1877","San Fernando Cemetery No. 1","U","116","Beloved husband and father"
"Emil Zimmermann","02/21/1775","12/17/1855","Confederate Cemetery","P","37","At rest with the Lord"
"Beatriz Castillo","08/04/1911","07/26/1945","National Cemetery (Fort Sam Houston)","F","141",""
"Anna Wolf","01/05/1810","05/08/1882","San Fernando Cemetery No. 2","Y","78",""
"Florence Thomas","01/05/1798","02/21/1868","City Cemetery No. 1","F","55",""
"Eusebio Martínez","08/06/1847","05/10/1924","Confederate Cemetery","T","6",""
"Adolph Koch","07/03/1782","04/05/1862","Mission Burial Park","O","155",""
"Amparo Ramírez","10/18/1819","06/27/1884","City Cemetery No. 1","D","98","Faithful servant of God"
"Gustav Weidemann","03/26/1887","10/27/1918","Confederate Cemetery","R","104",""
"Ida Perez","09/22/1828","05/16/1902","Confederate Cemetery","E","55",""
"Louisa Thompson","01/17/1831","05/15/1884","Mission Burial Park","H","113",""
"Teresa Sánchez","10/28/1866","01/16/1923","National Cemetery (Fort Sam Houston)","E","22",""
"Bruno Weidemann","04/26/1919","04/13/1955","City Cemetery No. 1","H","72",""
"Guadalupe Flores","07/11/1778","04/19/1865","City Cemetery No. 1","N","48","At rest with the Lord"
"Seamus Ryan","01/12/1905","08/22/1943","City Cemetery No. 1","A","54",""
"Andrés Vásquez","08/08/1810","05/24/1881","National Cemetery (Fort Sam Houston)","D","157","Que en paz descanse"
"Pearl Williams","01/01/1794","05/04/1865","National Cemetery (Fort Sam Houston)","C","99",""
"Consuelo Ramírez","12/27/1859","08/07/1937","National Cemetery (Fort Sam Houston)","V","137",""
"Lena Schmidt","05/18/1836","01/18/1899","San Fernando Cemetery No. 1","R","109",""
"Juan Martínez","11/08/1871","10/17/1926","San Fernando Cemetery No. 2","N","31",""
"Angela Hernández","02/22/1802","09/03/1862","National Cemetery (Fort Sam Houston)","R","166",""
"Hans Lehmann","11/09/1845","03/01/1889","Mission Burial Park","A","18",""
