"Name","Occupation","Address","Directory Year","Spouse Name"
"Johann Zimmermann","laborer","564 Soledad St","1905","Augusta Klein"
"Guadalupe Díaz","clerk","1026 Soledad St","1891","Clara Wolf"
"Edward Wright","farmer","126 Houston St","1925","Grace Harris"
"Walter Roberts","butcher","848 Navarro St","1901","Josefa Torres"
"Juan Ortiz","teamster","883 Market St","1885",""
"Frank Jackson","laborer","477 Soledad St","1910","Luz Rodríguez"
"Samuel Wright","attorney","1034 Houston St","1877",""
"Richard Wright","stockman","483 Flores St","1877","Mary Baker"
"Wilhelm Wolf","minister","1029 Market St","1885","Remedios García"
"Conrad Wolf","saloon keeper","1125 Houston St","1915","Beatriz Rodríguez"
"Isidro Chávez","stockman","656 Alamo Plaza","1905",""
"Seamus Connelly","blacksmith","293 Navarro St","1901","Ida Bauer"
"August Meyer","printer","1108 Santa Rosa St","1881",""
"Franz Hartmann","carpenter","723 Laredo St","1905","Mabel Thompson"
"Ernesto Herrera","merchant","692 Flores St","1881","Sophie Fischer"
"Walter Perez","physician","248 Santa Rosa St","1881","Augusta Bergmann"
"Hans Zimmermann","blacksmith","409 Navarro St","1905",""
"Robert Thompson","farmer","442 Laredo St","1920",""
"Manuel Morales","saloon keeper","1094 Alamo Plaza","1877",""
"Hermann Schwarz","tailor","893 Laredo St","1901","Wilhelmine Wolf"
"Albert Smith","attorney","454 Laredo St","1895",""
"Ludwig Schulz","printer","585 Laredo St","1925","Consuelo García"
"Ernst Becker","butcher","175 Houston St","1895","Harriet Roberts"
"Manuel Hernández","printer","1157 Santa Rosa St","1885",""
"Pedro Flores","saloon keeper","1135 Houston St","1891","Dolores Medina"
"Rafael Medina","butcher","993 Navarro St","1920",""
"Manuel Ramírez","teamster","779 Santa Rosa St","1895",""
"Arthur Harris","baker","721 Laredo St","1920","Amparo López"
"Tomás Torres","physician","868 Laredo St","1901",""
"Klaus Krüger","butcher","520 Navarro St","1910","Sarah King"
"Francisco Ramos","farmer","1033 Houston St","1905","Frieda Wolf"
"Florencio Medina","butcher","239 Navarro St","1901","Rosa Chávez"
"Franz Koch","attorney","630 Market St","1901","Olga Meyer"
