"Groom Name","Bride Name","Marriage Date","County","Volume","Page","Notes"
"Carlos Cruz","Elvira Pérez","02/19/1914","Bexar","29","217","Second marriage"
"Aurelio Martínez","Hedwig Klein","05/26/1917","Bexar","30","446","Minor — parental consent noted"
"Gustav Hoffmann","Felicitas Garza","02/12/1904","Bexar","25","434",""
"Juan Ramos","Clara Fischer","10/28/1920","Bexar","31","186",""
"John Scott","Elena Hernández","02/13/1947","Bexar","41","143",""
"George Thomas","Amparo Castillo","11/03/1924","Bexar","33","312",""
"Hermann Wagner","Augusta Weidemann","04/22/1915","Bexar","29","167",""
"Charles Carter","Concepción Molina","10/23/1893","Bexar","21","162",""
"August Meyer","Consuelo Ortiz","10/13/1891","Bexar","21","186",""
"Fergus Brennan","Guadalupe Sánchez","11/14/1890","Bexar","20","306","Catholic ceremony"
"August Neumann","Soledad García","11/18/1887","Bexar","19","385",""
"Karl Schäfer","Olga Mueller","12/09/1949","Bexar","42","498",""
"Francisco Gutiérrez","Louisa King","03/18/1903","Bexar","25","489",""
"Friedrich Braun","María Sánchez","05/08/1949","Bexar","42","30",""
"Heinrich Fischer","Sarah Adams","03/22/1888","Bexar","19","244",""
"Aurelio Chávez","Maureen Doyle","12/10/1862","Bexar","10","205",""
"August Bergmann","Frieda Schulz","01/19/1901","Bexar","24","284",""
"Manuel López","Guadalupe Garza","05/22/1895","Bexar","22","249",""
"Tomás Fuentes","Catalina Domínguez","11/14/1886","Bexar","19","182",""
"Wilhelm Hartmann","Frieda Schmidt","02/08/1901","Bexar","24","99",""
"Walter Wagner","Consuelo Rodríguez","02/02/1915","Bexar","29","334",""
"William Roberts","Mabel Davis","04/28/1910","Bexar","28","206",""
"José Vásquez","Ramona Ramos","12/26/1924","Bexar","33","285",""
"Ernst Schäfer","Guadalupe López","01/19/1844","Bexar","3","245",""
"George Johnson","Kathleen McCarthy","02/22/1918","Bexar","31","442",""
"Tomás Cruz","Marta Braun","10/19/1922","Bexar","32","268",""
"Gregorio Salinas","Francisca Ramírez","08/11/1899","Bexar","24","476",""
"Guadalupe Pérez","Dolores Ortiz","02/08/1902","Bexar","25","190",""
"Gerhard Lange","Ramona García","05/22/1915","Bexar","29","54",""
"Francisco Pérez","Alice Moore","12/11/1893","Bexar","21","105",""
"Clarence Martin","Guadalupe Hernández","01/01/1897","Bexar","23","171",""
"Franz Wagner","Ida Green","02/03/1880","Bexar","16","484",""
"Eugene Johnson","Pearl Young","01/10/1888","Bexar","19","187",""
"John Perez","Amparo Cruz","09/28/1902","Bexar","25","209",""
"Charles Mitchell","Ramona Rivera","03/24/1840","Bexar","2","474",""
