First Name,Last Name,Name Prefix,Name Suffix,File Name,Email,Telephone,Cell Phone,Address 1,Address 2,City,State / Province,Postal Code,Country,Member Active,Member Join Date,Expiration Date,Membership Plan,Membership Type,Your Skills,Your Interests,Volunteering?,Administrative Notes,Joint Member,Email of Joint,Mbr. List - Show Name,Mbr. List - Show Address,Mbr. List - Show Phone,Mbr. List - Show Email,Birth Year,Gender
Emma,Olson,,,,eolson@hotmail.com,701-467-4285,701-983-1973,2382 River Rd,Unit C,Carrington,ND,58421,US,Yes,09/04/2013,11/30/2027,Family,Individual,,,No,,Thomas Olson,thomas.olson@polarcomm.com,Yes,No,Yes,Yes,1999,Female
Jack,Fossum,,,,jack.fossum@gondtc.com,701-374-8045,701-600-4156,6544 Oak Ave,,Lisbon,ND,58054,US,Yes,01/08/2017,11/02/2027,Patron,Individual,"Bookkeeping, Newspaper research","German-Russian heritage, Norwegian immigration",Yes,,,,Yes,No,No,Yes,,Male
Gloria,Holm,,,,gloria.holm@polarcomm.com,701-206-9719,,294 Broadway,Apt 17,Williston,ND,58801,US,Yes,08/31/2013,07/20/2026,Patron,Individual,,"Railroad history, Norwegian immigration, Scandinavian genealogy",No,,,,Yes,Yes,No,Yes,,Female
Bruce,Schneider,,,,bruce.schneider@yahoo.com,701-940-4509,701-268-9039,9237 River Rd,,Dickinson,ND,58601,US,Yes,02/24/2025,06/21/2027,Student,Individual,"Courthouse research, Genealogy software",,No,,,,Yes,Yes,No,Yes,2002,Male
Jonathan,Graber,,,,graberj@live.com,701-834-2506,701-808-4552,9920 3rd St NW,Apt 4,Linton,ND,58552,US,Yes,08/30/2023,05/12/2027,Individual,Individual,,Homesteading era,Yes,,,,Yes,Yes,No,Yes,1968,Male
Susan,Quale,,,,susan_quale@outlook.com,701-362-8777,701-969-5050,4643 Railway Ave,,Wahpeton,ND,58075,US,No,06/27/2021,10/24/2025,Patron,Individual,,,No,,,,Yes,No,Yes,No,,Female
Michael,Haugen,,,,mhaugen@aol.com,,701-508-1168,1681 3rd St NW,Apt 20,Jamestown,ND,58401,US,Yes,09/15/2016,10/12/2026,Individual,Individual,,Immigration patterns,Yes,Cemetery Committee,,,Yes,Yes,No,Yes,1990,Male
Larry,Holm,,,,larryh@yahoo.com,,,9158 Elm St,,Mayville,ND,58257,US,Yes,12/17/2016,11/18/2026,Individual,Individual,"Public speaking, Church records, Courthouse research",,Yes,,,,Yes,No,Yes,Yes,,Male
Howard,Engen,,,,howarde@icloud.com,,701-316-3402,7389 2nd Ave S,,Crosby,ND,58730,US,Yes,08/07/2024,11/11/2026,Individual,Individual,,,No,,,,Yes,Yes,No,Yes,1975,Male
Karen,Severson,,,,kseverson@yahoo.com,701-705-4201,,9054 Sunset Blvd,,Cavalier,ND,58220,US,Yes,07/08/2015,04/21/2026,Individual,Individual,,"One-room schoolhouses, Homesteading era",Yes,Past President,,,Yes,No,No,Yes,1976,Female
Zoey,Carlson,,,,carlsonz@drtel.net,,701-944-2097,1525 Country Club Rd,Apt 18,Ellendale,ND,58436,US,Yes,11/29/2025,10/29/2026,Individual,Individual,Digital scanning,,Yes,,,,Yes,Yes,No,Yes,,Female
Kathryn,Schmidt,,,,kathryn_schmidt@ndsupernet.com,701-860-9691,701-230-2878,3047 Birch St,,West Fargo,ND,58078,US,Yes,07/03/2021,03/06/2027,Family,Individual,,,No,,Alexander Schmidt,alexander_schmidt@hotmail.com,Yes,No,Yes,Yes,1942,Female
Mason,Hanson,,,,hansonm@midco.net,701-899-2610,701-868-7850,6952 Division St,Apt 7,Bowman,ND,58623,US,Yes,01/23/2019,12/31/2099,Lifetime,Individual,,,No,,,,Yes,Yes,No,Yes,1958,Male
Jonathan,Froelich,,,,jonathanf@protonmail.com,701-536-6857,,4495 1st Ave N,,Jamestown,ND,58401,US,Yes,03/28/2014,11/26/2026,Individual,Individual,,,No,,,,Yes,No,Yes,Yes,,Male
Charles,Schmidt,,,,schmidtc@aol.com,701-581-9008,,3009 Park Ave,,Northwood,ND,58267,US,Yes,08/25/2012,11/25/2026,Individual,Individual,,"German-Russian heritage, Frontier medicine",No,,,,Yes,Yes,No,Yes,,Male
Grace,Helgeson,,,,graceh@mail.com,,,4547 Willow Dr,,Bottineau,ND,58318,US,Yes,12/26/2019,07/20/2026,Individual,Individual,,,No,,,,Yes,Yes,Yes,Yes,1988,Female
Samuel,Muller,,,,samuelm@outlook.com,701-674-4673,,2640 Church St,,Wishek,ND,58495,US,Yes,12/24/2022,08/31/2027,Individual,Individual,,,No,,,,Yes,Yes,Yes,Yes,,Male
George,Bjerke,,,,george.bjerke@bektel.com,,,2519 Sunset Blvd,,Langdon,ND,58249,US,Yes,05/17/2014,02/05/2027,Student,Individual,"Event planning, Church records",Homesteading era,No,,,,Yes,Yes,No,Yes,2006,Male
Heather,Reistad,Ms.,,,heather.reistad@drtel.net,701-926-8778,701-788-6084,9725 State St,,Mandan,ND,58554,US,Yes,04/07/2020,11/13/2027,Individual,Individual,,Railroad history,No,,,,Yes,No,Yes,Yes,1997,Female
Linda,Schneider,,,,lschneider@gmail.com,701-929-8621,701-409-8590,2236 Division St,,Hettinger,ND,58639,US,Yes,04/20/2015,09/04/2027,Individual,Individual,,,No,,,,Yes,No,No,Yes,1941,Female
Joan,Paulson,,,,paulsonj@gondtc.com,701-565-6328,,7754 Industrial Blvd,,Fargo,ND,58102,US,Yes,11/12/2013,09/15/2026,Individual,Individual,,,No,,,,Yes,Yes,No,Yes,1980,Female
Colton,Jacobson,,,,cjacobson@msn.com,701-565-4326,,3589 Meadow Ln,Apt 3,Tioga,ND,58852,US,Yes,07/05/2022,02/07/2027,Individual,Individual,,"Farm families, German-Russian heritage, Native American history",No,,,,Yes,No,No,Yes,1940,Male
