Surname,Given Name,Birth Date,Death Date,Cemetery,Location,Section,Lot,Notes
Trevino,Elena,10/14/1953,01/03/1970,City Cemetery No. 4,"San Antonio, Bexar County, Texas",Military,380,
Luna,Manuel,03/23/1845,06/09/1936,Mission Park Cemetery,"San Antonio, Bexar County, Texas",D,230,Iron fence enclosure
Ruiz,Guadalupe,01/24/1829,09/04/1877,City Cemetery No. 4,"San Antonio, Bexar County, Texas",F,434,Headstone broken
Soto,Catalina,05/03/1886,02/13/1932,Mission Burial Ground,"San Antonio, Bexar County, Texas",Priests',36,
Brackenridge,Mildred,10/21/1861,09/24/1906,Mission Burial Ground,"San Antonio, Bexar County, Texas",Military,137,Wife of Raymond
Esparza,Manuela,04/27/1852,06/13/1940,Odd Fellows Rest Cemetery,"San Antonio, Bexar County, Texas",Military,167,
Cassiano,Manuela,04/24/1858,12/19/1921,Sunset Memorial Park,"San Antonio, Bexar County, Texas",Military,235,
Kozlowski,Jadwiga,03/21/1899,11/14/1916,St. John's Lutheran Cemetery,"San Antonio, Bexar County, Texas",B,387,
Ibarra,Soledad,11/11/1942,05/14/1959,San Fernando Cemetery No. 1,"San Antonio, Bexar County, Texas",Military,370,
Morales,Dolores,03/12/1830,09/25/1894,City Cemetery No. 4,"San Antonio, Bexar County, Texas",Children's,321,
Jankowski,Stella,04/19/1925,02/24/1939,Alamo Masonic Cemetery,"San Antonio, Bexar County, Texas",Children's,414,Headstone broken
Bednarz,Stefan,04/18/1914,12/10/1974,Fort Sam Houston National Cemetery,"San Antonio, Bexar County, Texas",E,271,
Kowalski,Ewa,01/19/1892,10/08/1958,Holy Cross Cemetery,"San Antonio, Bexar County, Texas",B,127,
Leal,Pedro,09/05/1791,04/26/1795,San Jose Burial Ground,"San Antonio, Bexar County, Texas",A,143,"Child, age 4"
Dziuk,Kazimierz,11/21/1911,01/13/1995,Mission Park Cemetery,"San Antonio, Bexar County, Texas",F,217,Inscription partially illegible
Jarzombek,Tadeusz,04/28/1876,08/26/1900,Holy Cross Cemetery,"San Antonio, Bexar County, Texas",C,217,
Seguin,Cristobal,01/06/1930,01/13/1960,Fort Sam Houston National Cemetery,"San Antonio, Bexar County, Texas",G,249,Shared marker with spouse
Wiatrek,Katarzyna,10/24/1857,12/11/1946,St. John's Lutheran Cemetery,"San Antonio, Bexar County, Texas",C,98,
Morales,Trinidad,10/03/1804,07/04/1824,San Fernando Cemetery No. 2,"San Antonio, Bexar County, Texas",Old Section,42,
Boerner,Heinrich,05/13/1935,11/21/1988,San Jose Burial Ground,"San Antonio, Bexar County, Texas",E,105,Husband of Mathilde
Maverick,Arthur,03/12/1866,04/12/1945,City Cemetery No. 4,"San Antonio, Bexar County, Texas",B,276,
Padilla,Manuela,03/09/1862,02/24/1929,San Fernando Cemetery No. 1,"San Antonio, Bexar County, Texas",Military,419,Iron fence enclosure
Ibarra,Rosa,05/28/1931,02/21/1975,Mission Burial Ground,"San Antonio, Bexar County, Texas",Military,325,
