"First Name","Last Name","Preferred Name","Email","Phone","Cell Phone","Address 1","City","State","Zip","Country","Gender","Birthday","Join Date","Expiration Date","Status","Membership Plan","Amount Paid","Payment Method","Payment Date","Marital Status","Surnames Researched","Notes"
"Charles","Stricklin","Charles","education@txsaghs.org","(210) 799-6810","(210) 799-6810","12235 Vance Jackson Rd Apt 1015","San Antonio","TX","78230","US","Male","05/05/1960","07/16/2024","07/16/2025","Active","Individual","45.00","PayPal","07/16/2024","Single","Stricklin; Stricklan; Stricklen; Strickland; Graham; Patterson; Pruett","Board member, Education chair"
"Robert","Lewis","Rob","roblewis@swbell.net","(210) 287-7151","","24 Silverhorn Dr","San Antonio","TX","78216","US","Male","","","","Active","Individual","45.00","Check","","","Lewis",""
"Susan","Reyes","Susan","reyes.s95@gmail.com","(210) 232-1488","(956) 717-1434","18391 Austin Hwy","San Antonio","TX","78128","US","Female","01/25/1948","03/07/2020","03/07/2021","Expired","Family","65.00","Stripe","03/02/2020","Married","Flores; Shah",""
"Ernesto","Cox","Ernesto","coxe@yahoo.com","(210) 246-4733","","2615 Bitters Rd","San Antonio","TX","78135","US","Male","03/12/1978","11/21/2023","11/20/2024","Active","Family","65.00","Check","11/19/2023","Single","Ramirez; Westbrook; Rutherford",""
"Nora","Hernandez","Nora","n.hernandez@gmail.com","(210) 417-9179","","21065 Stone Oak Pkwy Unit 253","San Antonio","TX","78195","US","Female","07/12/1985","02/25/2021","02/25/2022","Active","Senior","30.00","Check","02/24/2021","Married","Li; Thompson; Diaz; Griffin",""
"Andrea","Davis","Andrea","davisa@sbcglobal.net","(210) 361-8433","(469) 936-5315","16404 Roosevelt Ave","San Antonio","TX","78280","US","Female","10/07/1966","09/01/2022","09/01/2023","Active","Family","65.00","PayPal","08/25/2022","Married","Barnes; Cooper; Harris; Garza; Clark",""
"Kimberly","Howard","Kim","kimberlyhoward@gmail.com","(956) 930-6107","","22010 Robin Nest","Laredo","TX","78015","US","Female","01/19/1937","12/21/2015","12/20/2016","Active","Individual","45.00","Check","12/20/2015","Divorced","Rivera",""
"Tanya","Peterson","Tanya","tanya70@sbcglobal.net","(817) 296-2588","","11610 Hill St","Fort Worth","TX","76186","US","Female","01/13/1966","04/07/2018","","Active","Life","500.00","PayPal","04/05/2018","Married","Robinson; Nowak","Gift membership; Moved from El Paso"
"Tanya","Wilson","Tanya","tanya31@swbell.net","(210) 260-3697","","12794 Potranco Rd","San Antonio","TX","78136","US","Female","09/22/1994","01/19/2020","01/18/2021","Expired","Individual","45.00","Credit Card","01/19/2020","Widowed","",""
"Imani","Henderson","Imani","i.henderson@yahoo.com","(512) 613-2964","","18668 Oak Park Dr","Austin","TX","78779","US","Female","","05/07/2020","05/07/2021","Active","Individual","45.00","Credit Card","05/02/2020","Married","Bennett; Jankowski; Henderson; Pendleton","Gift membership"
"Henry","Maldonado","Henry","hmaldonado@icloud.com","(210) 826-9666","(903) 767-5905","21738 Babcock Rd","San Antonio","TX","78233","US","Male","","10/07/2020","10/07/2021","Active","Individual","45.00","Credit Card","10/04/2020","Single","Howard; White; Lee",""
"Nancy","Johnson","Nancy","nancy30@gmail.com","(210) 774-1158","","22644 Flores St","San Antonio","TX","78174","US","Female","01/10/1956","01/12/2025","01/12/2026","Active","Organization","100.00","Check","01/09/2025","Single","Becker; Ashworth; Oglethorpe",""
"Katherine","Butler","Katherine","","(281) 621-5065","","25801 Perrin Beitel Rd","Houston","TX","77060","US","Female","08/12/1977","01/22/2019","01/22/2020","Active","Family","65.00","Check","01/17/2019","Married","",""
"Darnell","Vu","Darnell","dvu@att.net","(210) 239-2776","","11328 Hawk Ridge","San Antonio","TX","78177","US","Male","10/07/1940","09/22/2015","09/21/2016","Active","Family","65.00","Credit Card","09/19/2015","Married","",""
"Ralph","Cox","Ralph","coxr@gmail.com","(210) 767-3085","","21789 Rittiman Rd","San Antonio","TX","78278","US","Male","01/10/1955","11/11/2022","11/11/2023","Active","Individual","45.00","PayPal","11/04/2022","Single","Langston; Turner; Chamberlain; Rodriguez",""
"Kavita","Schneider","Kavita","kavitaschneider@icloud.com","(817) 225-1757","","15570 Presa St","Fort Worth","TX","76191","US","Female","04/05/1959","02/25/2023","02/25/2024","Active","Individual","45.00","PayPal","02/23/2023","Widowed","Castillo; Cox; Lopez",""
"Agnieszka","Spencer","Agnieszka","spencer.a55@sbcglobal.net","(210) 961-8777","","24635 NW Military Hwy","San Antonio","TX","78198","US","Female","04/09/1958","06/11/2019","06/10/2020","Active","Family","65.00","Credit Card","06/10/2019","Married","Drummond; Reed; Thompson; Krueger",""
"Mariana","Lopez","Mariana","mariana.lopez@yahoo.com","(830) 688-1096","","9785 Cedar Ln","Boerne","TX","78068","US","Female","10/29/1961","01/13/2021","01/13/2022","Active","Individual","45.00","Check","01/07/2021","Widowed","Whitfield; Pruett; Miller; Schneider; Wang; Trevino",""
"Ricardo","Ramirez","Ricardo","ricardoramirez@gmail.com","(210) 979-7211","","27261 Medio Creek","San Antonio","TX","78260","US","Male","","11/03/2020","11/03/2021","Active","Senior","30.00","Credit Card","11/03/2020","Widowed","Davis; Whitfield",""
"Klaus","Murphy","Klaus","murphyk@gmail.com","(210) 996-3683","","3543 Rolling Oaks Suite 590","San Antonio","TX","78150","US","Male","10/23/1944","05/28/2023","05/27/2024","Expired","Individual","45.00","Credit Card","05/27/2023","Widowed","Pruett",""
"Salvador","Meyer","Salvador","","(210) 308-8102","","20827 Stone Oak Pkwy","San Antonio","TX","78122","US","Male","05/20/1995","07/27/2021","07/27/2022","Expired","Individual","45.00","Credit Card","07/23/2021","Married","Watson; Mazur; Richardson; Pendleton; Szymanski; Garza",""
"Joseph","Garrett","Joseph","jgarrett@gmail.com","(210) 287-4954","","16010 Silver Horn Dr","San Antonio","TX","78182","US","Male","01/03/1957","11/19/2019","11/18/2020","Active","Individual","45.00","Check","11/14/2019","Married","Callaway; Krawczyk",""
"Jacob","Diaz","Jacob","jacobdiaz@aol.com","(210) 483-9595","","3295 N New Braunfels Ave","San Antonio","TX","78122","US","Male","03/09/1969","03/21/2020","03/21/2021","Active","Individual","45.00","Credit Card","03/14/2020","Married","",""
"Danielle","Bryant","Danielle","danielle18@sbcglobal.net","(210) 355-3444","","9957 Blanco Rd","San Antonio","TX","78271","US","Female","10/08/1964","05/28/2024","05/28/2025","Expired","Individual","45.00","PayPal","05/22/2024","Married","McAllister; Hall; Sheridan",""
"Manoj","Perez","Manoj","manoj.perez10@gmail.com","(210) 498-1534","","23166 Grissom Rd","San Antonio","TX","78109","US","Male","11/19/1989","09/08/2021","09/08/2022","Active","Organization","100.00","PayPal","09/04/2021","Widowed","",""
"Declan","Hunt","Declan","dhunt@yahoo.com","(210) 648-2317","","14157 Lark Meadow","San Antonio","TX","78103","US","Male","","01/25/2022","","Deceased","Life","500.00","Credit Card","01/21/2022","Single","Stricklen; Underwood",""
"Lonnie","Singh","Lonnie","lonnie.singh12@yahoo.com","(210) 364-6403","","16236 Grissom Rd","San Antonio","TX","78197","US","Male","06/09/1957","09/27/2021","09/27/2022","Active","Honorary","0.00","Stripe","09/20/2021","Married","Quincy; Lynch",""
