First name,Last name,Email,Membership level,Status,Member since,Renewal due,Phone,Address,City,State,Zip,Country,Surnames Researched,Research Areas
Margaret,Thompson,margaret.thompson@email.com,Individual,Active,2019-03-15,2026-03-15,(210) 555-0101,123 Oak Street,San Antonio,TX,78201,USA,"Thompson, Smith, Johnson","Bexar County TX, Wilson County TX"
Robert,Williams,robert.williams@email.com,Family,Active,2020-06-22,2026-06-22,(210) 555-0102,456 Elm Avenue,San Antonio,TX,78202,USA,"Williams, Davis, Brown","Comal County TX, Guadalupe County TX"
Patricia,Garcia,patricia.garcia@email.com,Individual,Active,2018-01-10,2026-01-10,(210) 555-0103,789 Pine Road,San Antonio,TX,78203,USA,"Garcia, Martinez, Rodriguez","Bexar County TX, Medina County TX"
James,Anderson,james.anderson@email.com,Lifetime,Active,2015-09-05,,,(210) 555-0104,321 Cedar Lane,San Antonio,TX,78204,USA,"Anderson, Wilson, Taylor","Kendall County TX, Bandera County TX"
Linda,Martinez,linda.martinez@email.com,Individual,Expired,2017-11-20,2025-11-20,(210) 555-0105,654 Maple Drive,San Antonio,TX,78205,USA,"Martinez, Lopez, Gonzalez","Webb County TX, Maverick County TX"
Michael,Robinson,michael.robinson@email.com,Family,Active,2021-02-14,2026-02-14,(210) 555-0106,987 Birch Court,San Antonio,TX,78206,USA,"Robinson, Clark, Lewis","Atascosa County TX, Frio County TX"
Elizabeth,Lee,elizabeth.lee@email.com,Student,Active,2024-08-30,2026-08-30,(210) 555-0107,147 Walnut Way,San Antonio,TX,78207,USA,"Lee, Walker, Hall","Bexar County TX"
William,Harris,william.harris@email.com,Individual,Active,2019-07-18,2026-07-18,(210) 555-0108,258 Spruce Street,San Antonio,TX,78208,USA,"Harris, Young, King","Uvalde County TX, Real County TX"
Barbara,Clark,barbara.clark@email.com,Individual,Pending,2025-12-01,2026-12-01,(210) 555-0109,369 Ash Boulevard,San Antonio,TX,78209,USA,"Clark, Wright, Scott","Karnes County TX, DeWitt County TX"
Richard,Lewis,richard.lewis@email.com,Family,Active,2016-04-25,2026-04-25,(210) 555-0110,471 Hickory Place,San Antonio,TX,78210,USA,"Lewis, Green, Adams","Gonzales County TX, Caldwell County TX"
Susan,Walker,susan.walker@email.com,Individual,Active,2020-10-12,2026-10-12,(210) 555-0111,582 Poplar Lane,San Antonio,TX,78211,USA,"Walker, Nelson, Hill","Hays County TX, Travis County TX"
Joseph,Hall,joseph.hall@email.com,Lifetime,Active,2012-05-30,,,(210) 555-0112,693 Willow Road,San Antonio,TX,78212,USA,"Hall, Moore, Jackson","Bastrop County TX, Lee County TX"
Jessica,Young,jessica.young@email.com,Individual,Expired,2018-08-15,2025-08-15,(210) 555-0113,704 Sycamore Ave,San Antonio,TX,78213,USA,"Young, White, Harris","Fayette County TX, Colorado County TX"
Thomas,King,thomas.king@email.com,Individual,Active,2022-01-08,2026-01-08,(210) 555-0114,815 Magnolia Dr,San Antonio,TX,78214,USA,"King, Martin, Thompson","Lavaca County TX, Jackson County TX"
Sarah,Wright,sarah.wright@email.com,Family,Active,2019-11-30,2026-11-30,(210) 555-0115,926 Cypress Court,San Antonio,TX,78215,USA,"Wright, Garcia, Martinez","Victoria County TX, Calhoun County TX"
Christopher,Scott,christopher.scott@email.com,Individual,Active,2021-06-17,2026-06-17,(210) 555-0116,137 Redwood Way,San Antonio,TX,78216,USA,"Scott, Rodriguez, Lewis","Refugio County TX, Bee County TX"
Karen,Green,karen.green@email.com,Student,Active,2024-01-20,2026-01-20,(210) 555-0117,248 Sequoia Street,San Antonio,TX,78217,USA,"Green, Lee, Walker","San Patricio County TX"
Daniel,Adams,daniel.adams@email.com,Individual,Expired,2017-03-05,2025-03-05,(210) 555-0118,359 Palm Boulevard,San Antonio,TX,78218,USA,"Adams, Hall, Allen","Nueces County TX, Kleberg County TX"
Nancy,Nelson,nancy.nelson@email.com,Individual,Active,2020-09-28,2026-09-28,(210) 555-0119,461 Olive Lane,San Antonio,TX,78219,USA,"Nelson, Young, Hernandez","Jim Wells County TX, Duval County TX"
Matthew,Hill,matthew.hill@email.com,Family,Active,2018-12-14,2026-12-14,(210) 555-0120,572 Cherry Road,San Antonio,TX,78220,USA,"Hill, King, Wright","Brooks County TX, Kenedy County TX"
Betty,Moore,betty.moore@email.com,Individual,Active,2023-04-22,2026-04-22,(210) 555-0121,683 Peach Place,Austin,TX,78701,USA,"Moore, Scott, Green","Willacy County TX, Cameron County TX"
Mark,Jackson,mark.jackson@email.com,Lifetime,Active,2010-07-10,,,(512) 555-0122,794 Apple Court,Austin,TX,78702,USA,"Jackson, Adams, Baker","Hidalgo County TX, Starr County TX"
Dorothy,White,dorothy.white@email.com,Individual,Pending,2025-11-15,2026-11-15,(512) 555-0123,805 Pear Lane,Austin,TX,78703,USA,"White, Nelson, Carter","Zapata County TX, Jim Hogg County TX"
Steven,Harris,steven.harris@email.com,Individual,Active,2019-02-28,2026-02-28,(512) 555-0124,916 Plum Way,Austin,TX,78704,USA,"Harris, Mitchell, Perez","La Salle County TX, Dimmit County TX"
Ashley,Martin,ashley.martin@email.com,Family,Active,2021-08-05,2026-08-05,(512) 555-0125,127 Orange Street,Austin,TX,78705,USA,"Martin, Roberts, Turner","Zavala County TX, Crystal City TX"
Andrew,Thompson,andrew.thompson@email.com,Individual,Expired,2016-10-20,2025-10-20,(512) 555-0126,238 Lemon Boulevard,Austin,TX,78731,USA,"Thompson, Phillips, Campbell","Maverick County TX, Kinney County TX"
Emily,Garcia,emily.garcia@email.com,Student,Active,2024-09-01,2026-09-01,(512) 555-0127,349 Lime Drive,Austin,TX,78732,USA,"Garcia, Parker, Evans","Val Verde County TX"
Joshua,Martinez,joshua.martinez@email.com,Individual,Active,2020-05-18,2026-05-18,(512) 555-0128,451 Grape Court,Austin,TX,78733,USA,"Martinez, Edwards, Collins","Terrell County TX, Brewster County TX"
Kimberly,Robinson,kimberly.robinson@email.com,Individual,Active,2022-11-09,2026-11-09,(512) 555-0129,562 Berry Lane,Austin,TX,78734,USA,"Robinson, Stewart, Sanchez","Presidio County TX, Jeff Davis County TX"
Kevin,Clark,kevin.clark@email.com,Family,Active,2017-07-25,2026-07-25,(512) 555-0130,673 Melon Road,Austin,TX,78735,USA,"Clark, Morris, Rogers","Culberson County TX, Hudspeth County TX"
Michelle,Rodriguez,michelle.rodriguez@email.com,Individual,Active,2019-01-12,2026-01-12,(713) 555-0131,784 Fig Place,Houston,TX,77001,USA,"Rodriguez, Reed, Cook","El Paso County TX"
Brian,Lewis,brian.lewis@email.com,Lifetime,Active,2008-04-30,,,(713) 555-0132,895 Date Way,Houston,TX,77002,USA,"Lewis, Morgan, Bell","Harris County TX, Fort Bend County TX"
Amanda,Lee,amanda.lee@email.com,Individual,Expired,2018-06-15,2025-06-15,(713) 555-0133,906 Kiwi Street,Houston,TX,77003,USA,"Lee, Murphy, Bailey","Montgomery County TX, Waller County TX"
Jason,Walker,jason.walker@email.com,Individual,Active,2021-03-08,2026-03-08,(713) 555-0134,117 Mango Boulevard,Houston,TX,77004,USA,"Walker, Rivera, Cooper","Brazoria County TX, Galveston County TX"
Melissa,Hall,melissa.hall@email.com,Family,Active,2020-12-22,2026-12-22,(713) 555-0135,228 Papaya Drive,Houston,TX,77005,USA,"Hall, Richardson, Cox","Chambers County TX, Liberty County TX"
Ryan,Allen,ryan.allen@email.com,Individual,Pending,2025-10-01,2026-10-01,(713) 555-0136,339 Coconut Court,Houston,TX,77006,USA,"Allen, Howard, Ward","Jefferson County TX, Orange County TX"
Stephanie,Young,stephanie.young@email.com,Student,Active,2024-05-15,2026-05-15,(713) 555-0137,441 Avocado Lane,Houston,TX,77007,USA,"Young, Torres, Peterson","Hardin County TX, Tyler County TX"
Timothy,Hernandez,timothy.hernandez@email.com,Individual,Active,2019-09-05,2026-09-05,(713) 555-0138,552 Guava Road,Houston,TX,77008,USA,"Hernandez, Gray, Ramirez","Jasper County TX, Newton County TX"
Rebecca,King,rebecca.king@email.com,Individual,Active,2022-02-18,2026-02-18,(713) 555-0139,663 Passion Place,Houston,TX,77009,USA,"King, James, Watson","Sabine County TX, San Augustine County TX"
Gary,Wright,gary.wright@email.com,Family,Expired,2017-04-10,2025-04-10,(713) 555-0140,774 Dragon Way,Houston,TX,77010,USA,"Wright, Brooks, Kelly","Shelby County TX, Nacogdoches County TX"
Laura,Lopez,laura.lopez@email.com,Individual,Active,2020-07-28,2026-07-28,(214) 555-0141,885 Star Street,Dallas,TX,75201,USA,"Lopez, Sanders, Price","Angelina County TX, Trinity County TX"
Jeffrey,Hill,jeffrey.hill@email.com,Lifetime,Active,2014-11-15,,,(214) 555-0142,996 Moon Boulevard,Dallas,TX,75202,USA,"Hill, Bennett, Wood","Polk County TX, San Jacinto County TX"
Sharon,Scott,sharon.scott@email.com,Individual,Active,2018-05-22,2026-05-22,(214) 555-0143,107 Sun Drive,Dallas,TX,75203,USA,"Scott, Barnes, Ross","Walker County TX, Grimes County TX"
Jacob,Green,jacob.green@email.com,Individual,Pending,2025-09-12,2026-09-12,(214) 555-0144,218 Cloud Court,Dallas,TX,75204,USA,"Green, Henderson, Coleman","Madison County TX, Leon County TX"
Deborah,Adams,deborah.adams@email.com,Family,Active,2021-01-30,2026-01-30,(214) 555-0145,329 Rain Lane,Dallas,TX,75205,USA,"Adams, Jenkins, Perry","Robertson County TX, Brazos County TX"
Justin,Baker,justin.baker@email.com,Student,Active,2024-08-20,2026-08-20,(214) 555-0146,431 Wind Road,Dallas,TX,75206,USA,"Baker, Powell, Long","Burleson County TX, Washington County TX"
Rachel,Nelson,rachel.nelson@email.com,Individual,Active,2019-04-05,2026-04-05,(214) 555-0147,542 Storm Place,Dallas,TX,75207,USA,"Nelson, Patterson, Hughes","Austin County TX, Wharton County TX"
Brandon,Carter,brandon.carter@email.com,Individual,Expired,2016-08-18,2025-08-18,(214) 555-0148,653 Thunder Way,Dallas,TX,75208,USA,"Carter, Flores, Washington","Matagorda County TX, Brazoria County TX"
Carolyn,Mitchell,carolyn.mitchell@email.com,Individual,Active,2022-06-25,2026-06-25,(214) 555-0149,764 Lightning St,Dallas,TX,75209,USA,"Mitchell, Butler, Simmons","Fort Bend County TX, Waller County TX"
Samuel,Perez,samuel.perez@email.com,Family,Active,2020-02-14,2026-02-14,(214) 555-0150,875 Breeze Blvd,Dallas,TX,75210,USA,"Perez, Foster, Gonzales","Colorado County TX, Fayette County TX"
Cynthia,Roberts,cynthia.roberts@email.com,Individual,Active,2017-10-30,2026-10-30,(817) 555-0151,986 Gust Drive,Fort Worth,TX,76101,USA,"Roberts, Bryant, Alexander","Lavaca County TX, DeWitt County TX"
Gregory,Turner,gregory.turner@email.com,Lifetime,Active,2011-03-20,,,(817) 555-0152,197 Zephyr Court,Fort Worth,TX,76102,USA,"Turner, Russell, Griffin","Gonzales County TX, Wilson County TX"
Angela,Phillips,angela.phillips@email.com,Individual,Active,2019-12-08,2026-12-08,(817) 555-0153,208 Gale Lane,Fort Worth,TX,76103,USA,"Phillips, Diaz, Hayes","Karnes County TX, Atascosa County TX"
Patrick,Campbell,patrick.campbell@email.com,Individual,Expired,2018-02-25,2025-02-25,(817) 555-0154,319 Squall Road,Fort Worth,TX,76104,USA,"Campbell, Myers, Ford","Live Oak County TX, McMullen County TX"
Christine,Parker,christine.parker@email.com,Family,Active,2021-09-18,2026-09-18,(817) 555-0155,421 Tempest Place,Fort Worth,TX,76105,USA,"Parker, Hamilton, Graham","Bee County TX, Goliad County TX"
Alexander,Evans,alexander.evans@email.com,Student,Active,2024-01-10,2026-01-10,(817) 555-0156,532 Cyclone Way,Fort Worth,TX,76106,USA,"Evans, Sullivan, Wallace","Refugio County TX, Aransas County TX"
Virginia,Edwards,virginia.edwards@email.com,Individual,Active,2020-08-02,2026-08-02,(817) 555-0157,643 Tornado Street,Fort Worth,TX,76107,USA,"Edwards, West, Cole","San Patricio County TX, Nueces County TX"
Frank,Collins,frank.collins@email.com,Individual,Pending,2025-11-28,2026-11-28,(817) 555-0158,754 Hurricane Blvd,Fort Worth,TX,76108,USA,"Collins, Jordan, Owens","Kleberg County TX, Kenedy County TX"
Kathleen,Stewart,kathleen.stewart@email.com,Individual,Active,2022-04-15,2026-04-15,(817) 555-0159,865 Monsoon Drive,Fort Worth,TX,76109,USA,"Stewart, Reynolds, Fisher","Jim Wells County TX, Brooks County TX"
Raymond,Sanchez,raymond.sanchez@email.com,Family,Active,2018-07-08,2026-07-08,(817) 555-0160,976 Blizzard Court,Fort Worth,TX,76110,USA,"Sanchez, Ellis, Harrison","Duval County TX, Jim Hogg County TX"
Diane,Morris,diane.morris@email.com,Individual,Active,2019-05-22,2026-05-22,(361) 555-0161,187 Frost Lane,Corpus Christi,TX,78401,USA,"Morris, Gibson, McDonald","Starr County TX, Hidalgo County TX"
Henry,Rogers,henry.rogers@email.com,Lifetime,Active,2009-09-10,,,(361) 555-0162,298 Ice Road,Corpus Christi,TX,78402,USA,"Rogers, Cruz, Marshall","Cameron County TX, Willacy County TX"
Janet,Reed,janet.reed@email.com,Individual,Expired,2017-01-28,2025-01-28,(361) 555-0163,309 Snow Place,Corpus Christi,TX,78403,USA,"Reed, Ortiz, Gomez","Zapata County TX, Webb County TX"
Eugene,Cook,eugene.cook@email.com,Individual,Active,2021-11-05,2026-11-05,(361) 555-0164,411 Sleet Way,Corpus Christi,TX,78404,USA,"Cook, Murray, Freeman","Laredo TX, Webb County TX"
Frances,Morgan,frances.morgan@email.com,Family,Active,2020-03-18,2026-03-18,(361) 555-0165,522 Hail Street,Corpus Christi,TX,78405,USA,"Morgan, Wells, Webb","Maverick County TX, Dimmit County TX"
Carl,Bell,carl.bell@email.com,Individual,Active,2022-08-30,2026-08-30,(361) 555-0166,633 Drizzle Blvd,Corpus Christi,TX,78406,USA,"Bell, Simpson, Stevens","Zavala County TX, Frio County TX"
Joyce,Murphy,joyce.murphy@email.com,Student,Expired,2023-12-15,2025-12-15,(361) 555-0167,744 Mist Drive,Corpus Christi,TX,78407,USA,"Murphy, Tucker, Porter","La Salle County TX, McMullen County TX"
Lawrence,Bailey,lawrence.bailey@email.com,Individual,Active,2019-06-12,2026-06-12,(361) 555-0168,855 Fog Court,Corpus Christi,TX,78408,USA,"Bailey, Hunter, Hicks","Medina County TX, Uvalde County TX"
Cheryl,Rivera,cheryl.rivera@email.com,Individual,Pending,2025-08-25,2026-08-25,(361) 555-0169,966 Dew Lane,Corpus Christi,TX,78409,USA,"Rivera, Crawford, Henry","Real County TX, Kerr County TX"
Walter,Cooper,walter.cooper@email.com,Family,Active,2018-04-08,2026-04-08,(361) 555-0170,177 Vapor Road,Corpus Christi,TX,78410,USA,"Cooper, Boyd, Mason","Bandera County TX, Kendall County TX"
Marie,Richardson,marie.richardson@email.com,Individual,Active,2020-10-22,2026-10-22,(956) 555-0171,288 Humid Place,McAllen,TX,78501,USA,"Richardson, Morales, Kennedy","Gillespie County TX, Blanco County TX"
Arthur,Cox,arthur.cox@email.com,Lifetime,Active,2013-02-14,,,(956) 555-0172,399 Muggy Way,McAllen,TX,78502,USA,"Cox, Warren, Dixon","Llano County TX, Burnet County TX"
Gloria,Howard,gloria.howard@email.com,Individual,Active,2021-07-05,2026-07-05,(956) 555-0173,401 Sticky Street,McAllen,TX,78503,USA,"Howard, Ramos, Reyes","Williamson County TX, Bell County TX"
Roger,Ward,roger.ward@email.com,Individual,Expired,2016-11-18,2025-11-18,(956) 555-0174,512 Balmy Blvd,McAllen,TX,78504,USA,"Ward, Burns, Gordon","McLennan County TX, Coryell County TX"
Teresa,Torres,teresa.torres@email.com,Family,Active,2019-08-30,2026-08-30,(956) 555-0175,623 Sultry Drive,McAllen,TX,78505,USA,"Torres, Shaw, Holmes","Falls County TX, Limestone County TX"
Joe,Peterson,joe.peterson@email.com,Individual,Active,2022-12-15,2026-12-15,(956) 555-0176,734 Torrid Court,Brownsville,TX,78520,USA,"Peterson, Rice, Robertson","Freestone County TX, Navarro County TX"
Judy,Gray,judy.gray@email.com,Student,Active,2024-03-28,2026-03-28,(956) 555-0177,845 Swelter Lane,Brownsville,TX,78521,USA,"Gray, Hunt, Black","Henderson County TX, Anderson County TX"
Dennis,Ramirez,dennis.ramirez@email.com,Individual,Active,2020-01-10,2026-01-10,(956) 555-0178,956 Sizzle Road,Brownsville,TX,78522,USA,"Ramirez, Holmes, Mills","Cherokee County TX, Rusk County TX"
Marilyn,James,marilyn.james@email.com,Individual,Active,2017-06-25,2026-06-25,(956) 555-0179,167 Scorch Place,Brownsville,TX,78523,USA,"James, Palmer, Wagner","Smith County TX, Gregg County TX"
Jerry,Watson,jerry.watson@email.com,Family,Pending,2025-10-08,2026-10-08,(956) 555-0180,278 Blaze Way,Harlingen,TX,78550,USA,"Watson, Chavez, Spencer","Harrison County TX, Marion County TX"
Katherine,Brooks,katherine.brooks@email.com,Individual,Active,2019-02-18,2026-02-18,(956) 555-0181,389 Ember Street,Harlingen,TX,78551,USA,"Brooks, Weaver, Zimmerman","Upshur County TX, Camp County TX"
Philip,Kelly,philip.kelly@email.com,Lifetime,Active,2007-08-05,,,(956) 555-0182,491 Kindle Blvd,Harlingen,TX,78552,USA,"Kelly, Douglas, Hansen","Titus County TX, Morris County TX"
Rose,Sanders,rose.sanders@email.com,Individual,Expired,2018-09-20,2025-09-20,(830) 555-0183,502 Flame Drive,New Braunfels,TX,78130,USA,"Sanders, Franklin, Pierce","Cass County TX, Bowie County TX"
Stephen,Price,stephen.price@email.com,Individual,Active,2021-05-12,2026-05-12,(830) 555-0184,613 Spark Court,New Braunfels,TX,78131,USA,"Price, Russell, Griffin","Red River County TX, Lamar County TX"
Janice,Bennett,janice.bennett@email.com,Family,Active,2020-11-28,2026-11-28,(830) 555-0185,724 Glow Lane,New Braunfels,TX,78132,USA,"Bennett, Stone, Hawkins","Fannin County TX, Delta County TX"
Albert,Wood,albert.wood@email.com,Individual,Active,2022-07-15,2026-07-15,(830) 555-0186,835 Shine Road,Seguin,TX,78155,USA,"Wood, Little, Dunn","Hopkins County TX, Hunt County TX"
Catherine,Barnes,catherine.barnes@email.com,Student,Active,2024-11-02,2026-11-02,(830) 555-0187,946 Gleam Place,Seguin,TX,78156,USA,"Barnes, Edwards, Collins","Kaufman County TX, Rockwall County TX"
Bobby,Ross,bobby.ross@email.com,Individual,Active,2019-03-08,2026-03-08,(830) 555-0188,157 Shimmer Way,Seguin,TX,78157,USA,"Ross, Hayes, Long","Dallas County TX, Tarrant County TX"
Ann,Henderson,ann.henderson@email.com,Individual,Expired,2017-07-22,2025-07-22,(830) 555-0189,268 Twinkle Street,Fredericksburg,TX,78624,USA,"Henderson, Perry, Butler","Denton County TX, Collin County TX"
Louis,Coleman,louis.coleman@email.com,Family,Active,2021-01-05,2026-01-05,(830) 555-0190,379 Flicker Blvd,Fredericksburg,TX,78625,USA,"Coleman, Patterson, Hughes","Ellis County TX, Johnson County TX"
Donna,Jenkins,donna.jenkins@email.com,Individual,Pending,2025-12-18,2026-12-18,(830) 555-0191,481 Flash Drive,Kerrville,TX,78028,USA,"Jenkins, Washington, Butler","Hill County TX, Bosque County TX"
Russell,Perry,russell.perry@email.com,Lifetime,Active,2012-10-30,,,(830) 555-0192,592 Glitter Court,Kerrville,TX,78029,USA,"Perry, Jenkins, Long","Somervell County TX, Erath County TX"
Evelyn,Powell,evelyn.powell@email.com,Individual,Active,2020-06-18,2026-06-18,(432) 555-0193,603 Sparkle Lane,Midland,TX,79701,USA,"Powell, Russell, Griffin","Hood County TX, Parker County TX"
Roy,Long,roy.long@email.com,Individual,Active,2022-09-05,2026-09-05,(432) 555-0194,714 Radiance Road,Midland,TX,79702,USA,"Long, Sanders, Price","Palo Pinto County TX, Stephens County TX"
Jean,Patterson,jean.patterson@email.com,Family,Active,2018-01-28,2026-01-28,(432) 555-0195,825 Luminous Place,Midland,TX,79703,USA,"Patterson, Bennett, Wood","Eastland County TX, Callahan County TX"
Wayne,Hughes,wayne.hughes@email.com,Individual,Expired,2016-05-15,2025-05-15,(432) 555-0196,936 Brilliant Way,Odessa,TX,79761,USA,"Hughes, Barnes, Ross","Taylor County TX, Jones County TX"
Kathryn,Flores,kathryn.flores@email.com,Student,Active,2024-02-20,2026-02-20,(432) 555-0197,147 Vivid Street,Odessa,TX,79762,USA,"Flores, Henderson, Coleman","Nolan County TX, Mitchell County TX"
Ralph,Washington,ralph.washington@email.com,Individual,Active,2020-08-12,2026-08-12,(432) 555-0198,258 Bright Blvd,Odessa,TX,79763,USA,"Washington, Jenkins, Perry","Howard County TX, Martin County TX"
Anna,Butler,anna.butler@email.com,Individual,Active,2019-04-28,2026-04-28,(432) 555-0199,369 Dazzle Drive,Big Spring,TX,79720,USA,"Butler, Powell, Long","Midland County TX, Ector County TX"
Willie,Simmons,willie.simmons@email.com,Family,Active,2021-10-15,2026-10-15,(806) 555-0200,471 Glimmer Court,Lubbock,TX,79401,USA,"Simmons, Patterson, Hughes","Andrews County TX, Gaines County TX"
Joan,Foster,joan.foster@email.com,Individual,Pending,2025-07-08,2026-07-08,(806) 555-0201,582 Luster Lane,Lubbock,TX,79402,USA,"Foster, Flores, Washington","Dawson County TX, Borden County TX"
Jack,Gonzales,jack.gonzales@email.com,Lifetime,Active,2010-12-22,,,(806) 555-0202,693 Sheen Road,Lubbock,TX,79403,USA,"Gonzales, Butler, Simmons","Lynn County TX, Garza County TX"
Lillian,Bryant,lillian.bryant@email.com,Individual,Active,2022-03-18,2026-03-18,(806) 555-0203,704 Polish Place,Lubbock,TX,79404,USA,"Bryant, Foster, Gonzales","Crosby County TX, Dickens County TX"
Bruce,Alexander,bruce.alexander@email.com,Individual,Expired,2017-09-05,2025-09-05,(806) 555-0204,815 Gleaming Way,Amarillo,TX,79101,USA,"Alexander, Bryant, Russell","Kent County TX, Stonewall County TX"
Judith,Russell,judith.russell@email.com,Family,Active,2019-11-28,2026-11-28,(806) 555-0205,926 Lustrous Street,Amarillo,TX,79102,USA,"Russell, Griffin, Diaz","Haskell County TX, Throckmorton County TX"
Peter,Griffin,peter.griffin@email.com,Individual,Active,2021-06-15,2026-06-15,(806) 555-0206,137 Polished Blvd,Amarillo,TX,79103,USA,"Griffin, Diaz, Hayes","Young County TX, Jack County TX"
Alice,Diaz,alice.diaz@email.com,Student,Active,2024-09-10,2026-09-10,(806) 555-0207,248 Burnished Drive,Amarillo,TX,79104,USA,"Diaz, Hayes, Myers","Archer County TX, Clay County TX"
Jesse,Hayes,jesse.hayes@email.com,Individual,Active,2020-02-05,2026-02-05,(806) 555-0208,359 Refined Court,Amarillo,TX,79105,USA,"Hayes, Myers, Ford","Wichita County TX, Wilbarger County TX"
Mildred,Myers,mildred.myers@email.com,Individual,Active,2018-08-22,2026-08-22,(806) 555-0209,461 Sleek Lane,Amarillo,TX,79106,USA,"Myers, Ford, Hamilton","Hardeman County TX, Foard County TX"
Howard,Ford,howard.ford@email.com,Family,Expired,2016-01-10,2025-01-10,(806) 555-0210,572 Smooth Road,Amarillo,TX,79107,USA,"Ford, Hamilton, Graham","Cottle County TX, King County TX"
Ruth,Hamilton,ruth.hamilton@email.com,Individual,Active,2022-11-28,2026-11-28,(806) 555-0211,683 Silky Place,Canyon,TX,79015,USA,"Hamilton, Graham, Sullivan","Knox County TX, Baylor County TX"
Harold,Graham,harold.graham@email.com,Lifetime,Active,2015-05-15,,,(806) 555-0212,794 Satin Way,Canyon,TX,79016,USA,"Graham, Sullivan, Wallace","Childress County TX, Hall County TX"
Shirley,Sullivan,shirley.sullivan@email.com,Individual,Pending,2025-10-22,2026-10-22,(806) 555-0213,805 Velvet Street,Plainview,TX,79072,USA,"Sullivan, Wallace, West","Donley County TX, Collingsworth County TX"
Alan,Wallace,alan.wallace@email.com,Individual,Active,2020-04-08,2026-04-08,(806) 555-0214,916 Plush Blvd,Plainview,TX,79073,USA,"Wallace, West, Cole","Wheeler County TX, Hemphill County TX"
Theresa,West,theresa.west@email.com,Family,Active,2019-07-25,2026-07-25,(903) 555-0215,127 Cushion Drive,Tyler,TX,75701,USA,"West, Cole, Jordan","Lipscomb County TX, Ochiltree County TX"
Jeremy,Cole,jeremy.cole@email.com,Individual,Active,2021-12-12,2026-12-12,(903) 555-0216,238 Comfy Court,Tyler,TX,75702,USA,"Cole, Jordan, Owens","Hansford County TX, Roberts County TX"
Nicole,Jordan,nicole.jordan@email.com,Student,Expired,2023-06-30,2025-06-30,(903) 555-0217,349 Cozy Lane,Tyler,TX,75703,USA,"Jordan, Owens, Reynolds","Hutchinson County TX, Carson County TX"
Benjamin,Owens,benjamin.owens@email.com,Individual,Active,2020-09-18,2026-09-18,(903) 555-0218,451 Snug Road,Tyler,TX,75704,USA,"Owens, Reynolds, Fisher","Potter County TX, Randall County TX"
Heather,Reynolds,heather.reynolds@email.com,Individual,Active,2022-01-05,2026-01-05,(903) 555-0219,562 Homey Place,Tyler,TX,75705,USA,"Reynolds, Fisher, Ellis","Deaf Smith County TX, Oldham County TX"
Gerald,Fisher,gerald.fisher@email.com,Family,Active,2018-06-22,2026-06-22,(903) 555-0220,673 Mellow Way,Longview,TX,75601,USA,"Fisher, Ellis, Harrison","Parmer County TX, Castro County TX"
Paula,Ellis,paula.ellis@email.com,Individual,Expired,2017-02-10,2025-02-10,(903) 555-0221,784 Peaceful Street,Longview,TX,75602,USA,"Ellis, Harrison, Gibson","Bailey County TX, Lamb County TX"
Scott,Harrison,scott.harrison@email.com,Lifetime,Active,2011-09-28,,,(903) 555-0222,895 Tranquil Blvd,Longview,TX,75603,USA,"Harrison, Gibson, McDonald","Hale County TX, Floyd County TX"
Emma,Gibson,emma.gibson@email.com,Individual,Active,2021-03-15,2026-03-15,(903) 555-0223,906 Serene Drive,Longview,TX,75604,USA,"Gibson, McDonald, Cruz","Motley County TX, Briscoe County TX"
Joshua,McDonald,joshua.mcdonald@email.com,Individual,Pending,2025-08-02,2026-08-02,(903) 555-0224,117 Calm Court,Texarkana,TX,75501,USA,"McDonald, Cruz, Marshall","Swisher County TX, Armstrong County TX"
Victoria,Cruz,victoria.cruz@email.com,Family,Active,2019-10-28,2026-10-28,(903) 555-0225,228 Quiet Lane,Texarkana,TX,75502,USA,"Cruz, Marshall, Ortiz","Gray County TX, Wheeler County TX"
Dylan,Marshall,dylan.marshall@email.com,Student,Active,2024-05-15,2026-05-15,(903) 555-0226,339 Still Road,Texarkana,TX,75503,USA,"Marshall, Ortiz, Gomez","Moore County TX, Sherman County TX"
Beverly,Ortiz,beverly.ortiz@email.com,Individual,Active,2020-12-08,2026-12-08,(936) 555-0227,441 Silent Place,Conroe,TX,77301,USA,"Ortiz, Gomez, Murray","Dallam County TX, Hartley County TX"
Keith,Gomez,keith.gomez@email.com,Individual,Active,2022-05-25,2026-05-25,(936) 555-0228,552 Hushed Way,Conroe,TX,77302,USA,"Gomez, Murray, Freeman","Pecos County TX, Reeves County TX"
Amber,Murray,amber.murray@email.com,Family,Expired,2016-10-12,2025-10-12,(936) 555-0229,663 Gentle Street,Conroe,TX,77303,USA,"Murray, Freeman, Wells","Ward County TX, Loving County TX"
Craig,Freeman,craig.freeman@email.com,Individual,Active,2019-01-28,2026-01-28,(936) 555-0230,774 Tender Blvd,The Woodlands,TX,77380,USA,"Freeman, Wells, Webb","Winkler County TX, Crane County TX"
